n,theta_decimal,rho_decimal,bin,strand,slip,jump,next_bin,reference_x_numeric,approximate_x_numeric,approximate_bin_numeric,phase_error_numeric,ideal_bin_certified,numeric_bin_agrees
78,0.7933488775082018400422269,0.9406062228198717616468499,30,0,0,15,6,0.7933488775082018,0.7933488775081997,30,2.1094237467877974e-15,true,true
79,0.1753148887583069918376401,0.8372806615739726816679633,6,0,0,15,21,0.175314888758307,0.17531488875830492,6,2.1094237467877974e-15,true,true
80,0.5572809000084121436330533,0.7339551003280736016890768,21,0,0,15,36,0.5572809000084121,0.55728090000841,21,2.1094237467877974e-15,true,true
81,0.9392469112585172954284664,0.6306295390821745217101902,36,0,0,15,12,0.9392469112585173,0.9392469112585151,36,2.220446049250313e-15,true,true
82,0.3212129225086224472238796,0.5273039778362754417313037,12,0,0,15,27,0.32121292250862243,0.3212129225086202,12,2.220446049250313e-15,true,true
83,0.7031789337587275990192927,0.4239784165903763617524172,27,0,0,15,3,0.7031789337587276,0.7031789337587253,27,2.3314683517128287e-15,true,true
84,0.0851449450088327508147059,0.3206528553444772817735306,3,0,0,15,18,0.08514494500883275,0.08514494500883041,3,2.3314683517128287e-15,true,true
85,0.4671109562589379026101191,0.2173272940985782017946441,18,0,0,15,33,0.4671109562589379,0.46711095625893556,18,2.3314683517128287e-15,true,true
86,0.8490769675090430544055322,0.1140017328526791218157575,33,0,0,15,9,0.849076967509043,0.8490769675090407,33,2.3314683517128287e-15,true,true
87,0.2310429787591482062009454,0.0106761716067800418368710,9,0,1,14,23,0.2310429787591482,0.23104297875914592,9,2.275957200481571e-15,true,true
88,0.6130089900092533579963586,0.9073506103608809618579845,23,2,0,15,38,0.6130089900092534,0.613008990009251,23,2.3314683517128287e-15,true,true
89,0.9949750012593585097917717,0.8040250491149818818790979,38,2,0,15,14,0.9949750012593586,0.9949750012593561,38,2.4424906541753444e-15,true,true
90,0.3769410125094636615871849,0.7006994878690828019002114,14,2,0,15,29,0.37694101250946366,0.3769410125094612,14,2.4424906541753444e-15,true,true
91,0.7589070237595688133825981,0.5973739266231837219213248,29,2,0,15,5,0.7589070237595689,0.7589070237595663,29,2.55351295663786e-15,true,true
92,0.1408730350096739651780112,0.4940483653772846419424383,5,2,0,15,20,0.14087303500967396,0.1408730350096714,5,2.55351295663786e-15,true,true
93,0.5228390462597791169734244,0.3907228041313855619635518,20,2,0,15,35,0.5228390462597792,0.5228390462597765,20,2.6645352591003757e-15,true,true
94,0.9048050575098842687688376,0.2873972428854864819846652,35,2,0,15,11,0.9048050575098843,0.9048050575098816,35,2.6645352591003757e-15,true,true
95,0.2867710687599894205642507,0.1840716816395874020057787,11,2,0,15,26,0.2867710687599894,0.2867710687599867,11,2.7200464103316335e-15,true,true
96,0.6687370800100945723596639,0.0807461203936883220268921,26,2,1,14,1,0.6687370800100946,0.6687370800100918,26,2.7755575615628914e-15,true,true
97,0.0507030912601997241550771,0.9774205591477892420480056,1,1,0,15,16,0.05070309126019972,0.0507030912601969,1,2.831068712794149e-15,true,true
98,0.4326691025103048759504902,0.8740949979018901620691191,16,1,0,15,31,0.4326691025103049,0.43266910251030205,16,2.831068712794149e-15,true,true
99,0.8146351137604100277459034,0.7707694366559910820902325,31,1,0,15,7,0.81463511376041,0.8146351137604072,31,2.7755575615628914e-15,true,true
100,0.1966011250105151795413166,0.6674438754100920021113460,7,1,0,15,22,0.1966011250105152,0.1966011250105124,7,2.7755575615628914e-15,true,true
101,0.5785671362606203313367297,0.5641183141641929221324594,22,1,0,15,37,0.5785671362606203,0.5785671362606175,22,2.7755575615628914e-15,true,true
102,0.9605331475107254831321429,0.4607927529182938421535729,37,1,0,15,13,0.9605331475107255,0.9605331475107226,37,2.886579864025407e-15,true,true
103,0.3424991587608306349275561,0.3574671916723947621746864,13,1,0,15,28,0.34249915876083065,0.3424991587608277,13,2.942091015256665e-15,true,true
104,0.7244651700109357867229692,0.2541416304264956821957998,28,1,0,15,4,0.7244651700109358,0.7244651700109328,28,2.9976021664879227e-15,true,true
